transaction_id,sender_entity_id,receiver_entity_id,amount,timestamp,transaction_type,channel,sender_state,receiver_state,is_cash_out,is_suspicious,ring_id
T000094,ENT_000544,ENT_000391,2455.78,2026-01-02 11:01:15,UPI,UPI App,Rajasthan,Maharashtra,0,0,NORMAL
T000095,ENT_000023,ENT_000578,4930.6,2026-01-02 11:45:01,UPI,UPI App,Uttar Pradesh,Madhya Pradesh,0,0,NORMAL
T000096,ENT_000414,ENT_000604,465.21,2026-01-02 11:52:17,CARD,Internet Banking,Rajasthan,Karnataka,0,0,NORMAL
T000097,ENT_000126,ENT_000142,3654.96,2026-01-02 12:07:03,UPI,UPI App,Uttar Pradesh,West Bengal,0,0,NORMAL
T000098,ENT_000169,ENT_000646,1915.21,2026-01-02 12:22:20,UPI,UPI App,West Bengal,Madhya Pradesh,0,0,NORMAL
T000099,ENT_000169,ENT_000006,3835.03,2026-01-02 12:42:19,CARD,POS,West Bengal,Rajasthan,0,0,NORMAL
T000100,ENT_000186,ENT_000011,2096.77,2026-01-02 12:44:56,UPI,UPI App,Tamil Nadu,Telangana,0,0,NORMAL
T000101,ENT_000692,ENT_000068,4757.1,2026-01-02 13:02:55,UPI,UPI App,Delhi,Punjab,0,0,NORMAL
T000102,ENT_000308,ENT_000655,4538.76,2026-01-02 13:11:52,UPI,UPI App,Bihar,Punjab,0,0,NORMAL
T000103,ENT_000492,ENT_000349,740.54,2026-01-02 13:24:08,UPI,UPI App,Gujarat,West Bengal,0,0,NORMAL
T000104,ENT_000288,ATM_038,2843.09,2026-01-02 14:00:46,CASH_WITHDRAWAL,ATM,Maharashtra,West Bengal,1,0,NORMAL
T000105,ENT_000123,ENT_000152,2649.37,2026-01-02 14:19:44,UPI,UPI App,Madhya Pradesh,Telangana,0,0,NORMAL
T000106,ENT_000484,ENT_000586,23871.73,2026-01-02 15:04:44,IMPS,Internet Banking,Maharashtra,Karnataka,0,0,NORMAL
T000107,ENT_000602,ENT_000458,3045.31,2026-01-02 15:29:07,UPI,UPI App,Maharashtra,Delhi,0,0,NORMAL
T000108,ENT_000700,ENT_000211,42298.03,2026-01-02 15:36:48,IMPS,Mobile Banking,Odisha,Odisha,0,0,NORMAL
T000109,ENT_000383,ENT_000452,39654.28,2026-01-02 15:53:57,NEFT,Internet Banking,Punjab,Gujarat,0,0,NORMAL
T000110,ENT_000238,ENT_000153,17841.59,2026-01-02 16:02:03,IMPS,Internet Banking,Gujarat,Maharashtra,0,0,NORMAL
T000111,ENT_000666,ENT_000503,4105.39,2026-01-02 16:02:58,UPI,UPI App,Uttar Pradesh,Rajasthan,0,0,NORMAL
T000112,ENT_000666,ENT_000500,25127.73,2026-01-02 16:45:42,IMPS,Mobile Banking,Uttar Pradesh,Madhya Pradesh,0,0,NORMAL
T000113,ENT_000670,ENT_000125,3113.57,2026-01-02 17:11:03,UPI,UPI App,Rajasthan,Kerala,0,0,NORMAL
T000114,ENT_000239,ENT_000271,1646.17,2026-01-02 17:36:45,IMPS,Internet Banking,Gujarat,Uttar Pradesh,0,0,NORMAL
T000115,ENT_000118,ENT_000332,2369.41,2026-01-02 17:52:33,UPI,UPI App,Tamil Nadu,Karnataka,0,0,NORMAL
T000116,ENT_000507,ENT_000166,177.77,2026-01-02 18:40:49,UPI,UPI App,Maharashtra,Gujarat,0,0,NORMAL
T000117,ENT_000363,ATM_008,2779.73,2026-01-02 18:44:38,CASH_WITHDRAWAL,ATM,Bihar,Delhi,1,0,NORMAL
T000118,ENT_000042,ENT_000638,1811.95,2026-01-02 18:49:43,UPI,UPI App,Karnataka,Delhi,0,0,NORMAL
T000119,ENT_000276,ENT_000166,385272.87,2026-01-02 18:52:23,NEFT,Bank Branch,Maharashtra,Gujarat,0,0,NORMAL
T000120,ENT_000437,ENT_000469,196.69,2026-01-02 18:59:38,UPI,UPI App,Tamil Nadu,West Bengal,0,0,NORMAL
T000121,ENT_000163,ENT_000697,2610.07,2026-01-02 19:39:24,UPI,UPI App,Delhi,Karnataka,0,0,NORMAL
T000122,ENT_000230,ENT_000076,4040.86,2026-01-02 19:49:00,UPI,UPI App,Delhi,Maharashtra,0,0,NORMAL
T000123,ENT_000054,ENT_000194,4759.45,2026-01-02 19:50:35,UPI,UPI App,Odisha,Punjab,0,0,NORMAL
T000124,ENT_000555,ENT_000053,2035.36,2026-01-02 19:54:58,UPI,UPI App,Bihar,Punjab,0,0,NORMAL
T000125,ENT_000263,ENT_000079,356396.29,2026-01-02 19:58:45,NEFT,Internet Banking,Kerala,Rajasthan,0,0,NORMAL
T000126,ENT_000515,ENT_000639,2126.91,2026-01-02 20:04:20,CARD,Internet Banking,Odisha,Bihar,0,0,NORMAL
T000127,ENT_000413,ENT_000104,3522.14,2026-01-02 20:18:19,UPI,UPI App,Telangana,Punjab,0,0,NORMAL
T000128,ENT_000667,ENT_000134,2794.62,2026-01-02 20:20:11,IMPS,Internet Banking,Maharashtra,Madhya Pradesh,0,0,NORMAL
T000129,ENT_000340,ENT_000671,1808.79,2026-01-02 20:22:59,UPI,UPI App,Odisha,Odisha,0,0,NORMAL
T000130,ENT_000436,ENT_000522,829.81,2026-01-02 21:21:52,UPI,UPI App,Telangana,Kerala,0,0,NORMAL
T000131,ENT_000106,ENT_000226,4942.55,2026-01-02 21:52:26,CARD,POS,Uttar Pradesh,Maharashtra,0,0,NORMAL
T000132,ENT_000236,ENT_000297,4370.17,2026-01-02 21:56:11,UPI,UPI App,Punjab,Tamil Nadu,0,0,NORMAL
T000133,ENT_000072,ENT_000644,3384.49,2026-01-03 01:23:44,UPI,UPI App,West Bengal,Gujarat,0,0,NORMAL
T000134,ENT_000024,ENT_000035,37311.04,2026-01-03 01:30:52,NEFT,Bank Branch,Delhi,Maharashtra,0,0,NORMAL
T000135,ENT_000047,ENT_000169,175530.74,2026-01-03 04:36:59,NEFT,Internet Banking,Bihar,West Bengal,0,1,RING_006
T000136,ENT_000169,ENT_000505,167569.4,2026-01-03 05:50:59,UPI,UPI App,West Bengal,Telangana,0,1,RING_006
T000137,ENT_000110,ENT_000273,18939.02,2026-01-03 06:12:03,NEFT,Internet Banking,Maharashtra,Gujarat,0,0,NORMAL
T000138,ENT_000622,ENT_000460,152031.05,2026-01-03 06:54:32,IMPS,Mobile Banking,Bihar,Uttar Pradesh,0,1,RING_024
T000139,ENT_000505,ENT_000144,160812.82,2026-01-03 07:04:59,UPI,UPI App,Telangana,Rajasthan,0,1,RING_006
T000140,ENT_000426,ENT_000591,4645.32,2026-01-03 07:15:43,UPI,UPI App,Kerala,Karnataka,0,0,NORMAL
T000141,ENT_000622,ENT_000173,140336.35,2026-01-03 07:35:32,IMPS,Mobile Banking,Bihar,Madhya Pradesh,0,1,RING_024
T000142,ENT_000360,ENT_000666,1520.87,2026-01-03 07:53:42,UPI,UPI App,Madhya Pradesh,Uttar Pradesh,0,0,NORMAL
T000143,ENT_000139,ATM_013,4385.9,2026-01-03 08:06:21,CASH_WITHDRAWAL,ATM,Bihar,Telangana,1,0,NORMAL
T000144,ENT_000144,ENT_000420,157270.35,2026-01-03 08:08:59,NEFT,Internet Banking,Rajasthan,Maharashtra,0,1,RING_006
T000145,ENT_000171,ENT_000667,646.23,2026-01-03 08:33:17,IMPS,Internet Banking,Maharashtra,Maharashtra,0,0,NORMAL
T000146,ENT_000149,ENT_000202,1419.12,2026-01-03 08:55:22,UPI,UPI App,Bihar,Delhi,0,0,NORMAL
T000147,ENT_000052,ENT_000326,21816.83,2026-01-03 09:05:04,IMPS,Mobile Banking,Kerala,Maharashtra,0,0,NORMAL
T000148,ENT_000460,ENT_000691,145949.81,2026-01-03 09:06:32,UPI,UPI App,Uttar Pradesh,Odisha,0,1,RING_024
T000149,ENT_000413,ENT_000256,1380.05,2026-01-03 09:06:39,UPI,UPI App,Telangana,Gujarat,0,0,NORMAL
T000150,ENT_000105,ENT_000109,3461.47,2026-01-03 09:16:40,UPI,UPI App,Gujarat,Punjab,0,0,NORMAL
T000151,ENT_000420,ATM_017,152529.7,2026-01-03 09:16:59,CASH_WITHDRAWAL,ATM,Maharashtra,Delhi,1,1,RING_006
T000152,ENT_000173,ENT_000691,134722.9,2026-01-03 09:24:32,UPI,UPI App,Madhya Pradesh,Odisha,0,1,RING_024
T000153,ENT_000246,ENT_000573,2919.38,2026-01-03 09:55:11,UPI,UPI App,Delhi,Gujarat,0,0,NORMAL
T000154,ENT_000142,ENT_000433,40778.09,2026-01-03 10:17:32,IMPS,Internet Banking,West Bengal,Odisha,0,0,NORMAL
T000155,ENT_000120,ENT_000487,47620.35,2026-01-03 10:17:50,NEFT,Bank Branch,West Bengal,Uttar Pradesh,0,0,NORMAL
T000156,ENT_000473,ENT_000476,43880.85,2026-01-03 10:22:31,IMPS,Mobile Banking,Kerala,Tamil Nadu,0,0,NORMAL
T000157,ENT_000458,ENT_000119,43997.05,2026-01-03 10:30:35,NEFT,Bank Branch,Delhi,Punjab,0,0,NORMAL
T000158,ENT_000140,ENT_000469,4980.51,2026-01-03 10:43:21,IMPS,Internet Banking,West Bengal,West Bengal,0,0,NORMAL
T000159,ENT_000298,ENT_000260,48396.43,2026-01-03 10:50:19,NEFT,Internet Banking,West Bengal,Maharashtra,0,0,NORMAL
T000160,ENT_000691,ENT_000537,268978.01,2026-01-03 10:53:32,NEFT,Internet Banking,Odisha,Gujarat,0,1,RING_024
T000161,ENT_000034,ENT_000363,283.87,2026-01-03 11:08:51,UPI,UPI App,Punjab,Bihar,0,0,NORMAL
T000162,ENT_000511,ENT_000098,2598.73,2026-01-03 11:20:27,CARD,POS,Telangana,Delhi,0,0,NORMAL
T000163,ENT_000537,ATM_012,260908.67,2026-01-03 11:24:32,CASH_WITHDRAWAL,ATM,Gujarat,Bihar,1,1,RING_024
T000164,ENT_000483,ENT_000409,3421.22,2026-01-03 11:24:41,UPI,UPI App,Uttar Pradesh,Telangana,0,0,NORMAL
T000165,ENT_000084,ENT_000539,209080.81,2026-01-03 11:30:05,NEFT,Internet Banking,Kerala,Maharashtra,0,1,RING_001
T000166,ENT_000180,ENT_000614,4729.8,2026-01-03 11:50:40,UPI,UPI App,Madhya Pradesh,Rajasthan,0,0,NORMAL
T000167,ENT_000539,ENT_000458,199053.09,2026-01-03 11:59:05,UPI,UPI App,Maharashtra,Delhi,0,1,RING_001
T000168,ENT_000524,ATM_041,1401.81,2026-01-03 12:10:14,CASH_WITHDRAWAL,ATM,Kerala,Bihar,1,0,NORMAL
T000169,ENT_000458,ENT_000541,190406.54,2026-01-03 12:14:05,IMPS,Mobile Banking,Delhi,Madhya Pradesh,0,1,RING_001
T000170,ENT_000541,ENT_000371,181231.52,2026-01-03 12:52:05,NEFT,Internet Banking,Madhya Pradesh,Madhya Pradesh,0,1,RING_001
T000171,ENT_000548,ENT_000369,1168.99,2026-01-03 13:05:08,UPI,UPI App,Karnataka,Maharashtra,0,0,NORMAL
T000172,ENT_000698,ENT_000072,2832.01,2026-01-03 13:35:26,UPI,UPI App,Delhi,West Bengal,0,0,NORMAL
T000173,ENT_000688,ENT_000564,4051.43,2026-01-03 13:45:20,UPI,UPI App,Telangana,Gujarat,0,0,NORMAL
T000174,ENT_000371,ENT_000080,177247.53,2026-01-03 13:49:05,IMPS,Mobile Banking,Madhya Pradesh,Punjab,0,1,RING_001
T000175,ENT_000650,ENT_000356,4082.44,2026-01-03 13:54:15,UPI,UPI App,Karnataka,Odisha,0,0,NORMAL
T000176,ENT_000308,ENT_000385,4803.96,2026-01-03 13:56:22,UPI,UPI App,Bihar,Karnataka,0,0,NORMAL
T000177,ENT_000080,ENT_000578,170979.28,2026-01-03 14:46:05,UPI,UPI App,Punjab,Madhya Pradesh,0,1,RING_001
T000178,ENT_000641,ENT_000116,37460.32,2026-01-03 14:53:05,NEFT,Internet Banking,Gujarat,Kerala,0,0,NORMAL
T000179,ENT_000401,ENT_000501,2448.13,2026-01-03 15:04:46,UPI,UPI App,Telangana,Rajasthan,0,0,NORMAL
T000180,ENT_000578,ENT_000115,165259.91,2026-01-03 15:35:05,UPI,UPI App,Madhya Pradesh,Madhya Pradesh,0,1,RING_001
T000181,ENT_000258,ENT_000550,158489.07,2026-01-03 15:47:21,NEFT,Bank Branch,Maharashtra,Gujarat,0,0,NORMAL
T000182,ENT_000398,ENT_000342,4592.68,2026-01-03 15:50:46,UPI,UPI App,Maharashtra,Telangana,0,0,NORMAL
T000183,ENT_000115,ENT_000064,159621.66,2026-01-03 15:51:05,IMPS,Mobile Banking,Madhya Pradesh,Odisha,0,1,RING_001
T000184,ENT_000569,ENT_000077,2730.96,2026-01-03 15:58:12,UPI,UPI App,Telangana,Punjab,0,0,NORMAL
T000185,ENT_000042,ENT_000549,3876.09,2026-01-03 16:03:44,UPI,UPI App,Karnataka,Madhya Pradesh,0,0,NORMAL
T000186,ENT_000597,ENT_000023,133517.23,2026-01-03 16:11:31,NEFT,Internet Banking,Telangana,Uttar Pradesh,0,0,NORMAL
T000187,ENT_000341,ENT_000119,4855.48,2026-01-03 16:15:24,IMPS,Mobile Banking,Odisha,Punjab,0,0,NORMAL
T000188,ENT_000268,ENT_000465,3085.46,2026-01-03 16:24:07,UPI,UPI App,Bihar,Odisha,0,0,NORMAL
T000189,ENT_000151,ENT_000487,2050.07,2026-01-03 16:29:40,UPI,UPI App,Karnataka,Uttar Pradesh,0,0,NORMAL
T000190,ENT_000046,ENT_000377,705.16,2026-01-03 16:30:46,UPI,UPI App,Maharashtra,Telangana,0,0,NORMAL
T000191,ENT_000699,ENT_000474,39442.19,2026-01-03 16:37:55,NEFT,Bank Branch,Karnataka,Odisha,0,0,NORMAL
T000192,ENT_000064,ATM_033,156321.38,2026-01-03 16:40:05,CASH_WITHDRAWAL,ATM,Odisha,Karnataka,1,1,RING_001
T000193,ENT_000341,ENT_000437,4848.03,2026-01-03 16:57:45,UPI,UPI App,Odisha,Tamil Nadu,0,0,NORMAL
T000194,ENT_000314,ENT_000216,14597.43,2026-01-03 17:28:25,IMPS,Mobile Banking,Kerala,Tamil Nadu,0,0,NORMAL
T000195,ENT_000053,ENT_000326,2464.57,2026-01-03 17:33:21,UPI,UPI App,Punjab,Maharashtra,0,0,NORMAL
T000196,ENT_000173,ENT_000081,3607.06,2026-01-03 17:35:54,UPI,UPI App,Madhya Pradesh,Tamil Nadu,0,0,NORMAL
T000197,ENT_000697,ENT_000365,2303.68,2026-01-03 18:08:51,UPI,UPI App,Karnataka,Punjab,0,0,NORMAL
T000198,ENT_000259,ENT_000290,270137.66,2026-01-03 18:09:27,NEFT,Bank Branch,Maharashtra,Tamil Nadu,0,0,NORMAL
T000199,ENT_000198,ENT_000430,4110.4,2026-01-03 18:34:41,UPI,UPI App,Uttar Pradesh,Bihar,0,0,NORMAL
