complaint_id,split
C000688,train
C000405,train
C000085,train
C000118,train
C000321,train
C000928,train
C000460,train
C000266,train
C000807,train
C000394,train
C000332,train
C000768,train
C000710,train
C000482,train
C000890,train
C000435,train
C000960,train
C000127,train
C000735,train
C000169,train
C000122,train
C000781,train
C000069,train
C000362,train
C000006,train
C000330,train
C000228,train
C000925,train
C000245,train
C000492,train
C000723,train
C000746,train
C000784,train
C000079,train
C000474,train
C000404,train
C000713,train
C000540,train
C000847,train
C000516,train
C000705,train
C000700,train
C000512,train
C000823,train
C000796,train
C000225,train
C000513,train
C000013,train
C000647,train
C000570,train
C000653,train
C000495,train
C000055,train
C000696,train
C000089,train
C000588,train
C000117,train
C000072,train
C000334,train
C000207,train
C000914,train
C000595,train
C000101,train
C000125,train
C000517,train
C000194,train
C000951,train
C000659,train
C000103,train
C000485,train
C000162,train
C000052,train
C000557,train
C000183,train
C000528,train
C000864,train
C000215,train
C000558,train
C000241,train
C000575,train
C000014,train
C000504,train
C000393,train
C000788,train
C000450,train
C000445,train
C000891,train
C000031,train
C000698,train
C000691,train
C000830,train
C000702,train
C000519,train
C000858,train
C000123,train
C000795,train
C000483,train
C000889,train
C000720,train
C000021,train
C000824,train
C000563,train
C000508,train
C000841,train
C000634,train
C000357,train
C000356,train
C000352,train
C000471,train
C000836,train
C000212,train
C000859,train
C000168,train
C000136,train
C000534,train
C000392,train
C000298,train
C000924,train
C000862,train
C000151,train
C000058,train
C000493,train
C000791,train
C000370,train
C000010,train
C000202,train
C000777,train
C000034,train
C000329,train
C000257,train
C000420,train
C000303,train
C000139,train
C000390,train
C000769,train
C000758,train
C000979,train
C000177,train
C000911,train
C000221,train
C000799,train
C000839,train
C000374,train
C000344,train
C000677,train
C000853,train
C000631,train
C000166,train
C000271,train
C000018,train
C000828,train
C000121,train
C000854,train
C000753,train
C000581,train
C000978,train
C000318,train
C000240,train
C000556,train
C000324,train
C000956,train
C000673,train
C000669,train
C000643,train
C000033,train
C000572,train
C000348,train
C000717,train
C000561,train
C000826,train
C000982,train
C000075,train
C000998,train
C000216,train
C000802,train
C000164,train
C000019,train
C000678,train
C000080,train
C000294,train
C000545,train
C000025,train
C000116,train
C000881,train
C000289,train
C000564,train
C000311,train
C000716,train
C000620,train
C000543,train
C000299,train
C000417,train
C000205,train
C000375,train
C000196,train
C000915,train
C000447,train
C000772,train
C000003,train
C000926,train
C000406,train
C000968,train
C000682,train
C000834,train
C000725,train
C000158,train
C000250,train
C000509,train
C000722,train
C000452,train
C000671,train
C000937,train
C000833,train
C000742,train
C000004,train
C000861,train
C000347,train
C000459,train
C000632,train
C000026,train
C000381,train
C000878,train
C000219,train
C000896,train
C000612,train
C000552,train
C000331,train
C000429,train
C000962,train
C000224,train
C000706,train
C000656,train
C000012,train
C000718,train
C000527,train
C000284,train
C000966,train
C000945,train
C000203,train
C000879,train
C000407,train
C000328,train
C000469,train
C000933,train
C000419,train
C000923,train
C000711,train
C000584,train
C000593,train
C000690,train
C000984,train
C000793,train
C000797,train
C000337,train
C000198,train
C000912,train
C000399,train
C000666,train
C000272,train
C000947,train
C000837,train
C000630,train
C000427,train
C000650,train
C000060,train
C000565,train
C000774,train
C000463,train
C000153,train
C000237,train
C000345,train
C000008,train
C000920,train
C000371,train
C000902,train
C000040,train
C000804,train
C000995,train
C000373,train
C000585,train
C000938,train
C000098,train
C000759,train
C000818,train
C000313,train
C000652,train
C000936,train
C000970,train
C000137,train
C000679,train
C000490,train
C000897,train
C000986,train
C000017,train
C000170,train
C000667,train
C000086,train
C000562,train
C000120,train
C000502,train
C000383,train
C000954,train
C000184,train
C000869,train
C000312,train
C000989,train
C000054,train
C000999,train
C000745,train
C000829,train
C000133,train
C000992,train
C000093,train
C000201,train
C000663,train
C000707,train
C000110,train
C000927,train
C000658,train
C000213,train
C000126,train
C000885,train
C000379,train
C000825,train
C000395,train
C000412,train
C000227,train
C000953,train
C000916,train
C000472,train
C000857,train
C000996,train
C000548,train
C000422,train
C000817,train
C001000,train
C000901,train
C000733,train
C000267,train
C000322,train
C000695,train
C000520,train
C000554,train
C000537,train
C000498,train
C000382,train
C000976,train
C000317,train
C000913,train
C000152,train
C000181,train
C000094,train
C000987,train
C000918,train
C000952,train
C000535,train
C000626,train
C000363,train
C000161,train
C000786,train
C000236,train
C000641,train
C000478,train
C000243,train
C000848,train
C000676,train
C000934,train
C000088,train
C000226,train
C000185,train
C000877,train
C000883,train
C000105,train
C000048,train
C000539,train
C000899,train
C000244,train
C000607,train
C000972,train
C000304,train
C000813,train
C000274,train
C000387,train
C000973,train
C000011,train
C000326,train
C000940,train
C000732,train
C000838,train
C000821,train
C000586,train
C000172,train
C000077,train
C000654,train
C000756,train
C000149,train
C000229,train
C000983,train
C000876,train
C000188,train
C000467,train
C000265,train
C000319,train
C000871,train
C000639,train
C000729,train
C000640,train
C000263,train
C000530,train
C000778,train
C000856,train
C000238,train
C000754,train
C000748,train
C000359,train
C000354,train
C000064,train
C000961,train
C000963,train
C000942,train
C000730,train
C000638,train
C000567,train
C000476,train
C000325,train
C000741,train
C000160,train
C000369,train
C000129,train
C000050,train
C000384,train
C000097,train
C000779,train
C000464,train
C000199,train
C000277,train
C000657,train
C000703,train
C000874,train
C000800,train
C000173,train
C000292,train
C000603,train
C000365,train
C000156,train
C000898,train
C000045,train
C000646,train
C000020,train
C000306,train
C000625,train
C000454,train
C000276,train
C000827,train
C000674,train
C000880,train
C000497,train
C000081,train
C000773,train
C000234,train
C000583,train
C000832,train
C000932,train
C000752,train
C000029,train
C000279,train
C000642,train
C000119,train
C000971,train
C000569,train
C000886,train
C000644,train
C000264,train
C000408,train
C000436,train
C000850,train
C000430,train
C000338,train
C000801,train
C000715,train
C000523,train
C000991,train
C000391,train
C000541,train
C000747,train
C000714,train
C000547,train
C000280,train
C000351,train
C000246,train
C000455,train
C000167,train
C000047,train
C000686,train
C000230,train
C000958,train
C000568,train
C000475,train
C000529,train
C000470,train
C000009,train
C000380,train
C000242,train
C000440,train
C000959,train
C000128,train
C000473,train
C000526,train
C000446,train
C000546,train
C000503,train
C000550,train
C000341,train
C000496,train
C000301,train
C000414,train
C000608,train
C000441,train
C000629,train
C000662,train
C000988,train
C000032,train
C000594,train
C000309,train
C000790,train
C000615,train
C000353,train
C000082,train
C000792,train
C000789,train
C000906,train
C000578,train
C000197,train
C000840,train
C000887,train
C000146,train
C000315,train
C000518,train
C000617,train
C000616,train
C000336,train
C000908,train
C000355,train
C000964,train
C000949,train
C000930,train
C000749,train
C000132,train
C000909,train
C000727,train
C000870,train
C000977,train
C000179,train
C000577,train
C000533,train
C000501,train
C000302,train
C000305,train
C000694,train
C000566,train
C000465,train
C000290,train
C000042,train
C000209,train
C000866,train
C000798,train
C000731,train
C000343,train
C000024,train
C000044,train
C000342,train
C000157,train
C000611,train
C000254,train
C000154,train
C000049,train
C000514,train
C000633,train
C000090,train
C000448,train
C000794,train
C000542,test
C000333,test
C000076,test
C000809,test
C000314,test
C000852,test
C000487,test
C000231,test
C000712,test
C000144,test
C000233,test
C000736,test
C000907,test
C000939,test
C000724,test
C000104,test
C000628,test
C000431,test
C000051,test
C000206,test
C000484,test
C000099,test
C000946,test
C000525,test
C000489,test
C000699,test
C000993,test
C000843,test
C000538,test
C000692,test
C000421,test
C000486,test
C000685,test
C000037,test
C000764,test
C000740,test
C000701,test
C000022,test
C000005,test
C000596,test
C000108,test
C000367,test
C000023,test
C000056,test
C000235,test
C000261,test
C000875,test
C000222,test
C000291,test
C000171,test
C000416,test
C000411,test
C000505,test
C000598,test
C000559,test
C000461,test
C000787,test
C000327,test
C000100,test
C000409,test
C000757,test
C000873,test
C000872,test
C000863,test
C000070,test
C000095,test
C000131,test
C000785,test
C000555,test
C000269,test
C000480,test
C000425,test
C000531,test
C000812,test
C000601,test
C000107,test
C000636,test
C000494,test
C000922,test
C000842,test
C000855,test
C000816,test
C000016,test
C000803,test
C000935,test
C000500,test
C000038,test
C000576,test
C000806,test
C000536,test
C000610,test
C000651,test
C000680,test
C000438,test
C000295,test
C000148,test
C000150,test
C000092,test
C000175,test
C000738,test
C000223,test
C000719,test
C000943,test
C000975,test
C000980,test
C000396,test
C000178,test
C000739,test
C000507,test
C000360,test
C000597,test
C000443,test
C000415,test
C000057,test
C000002,test
C000649,test
C000138,test
C000063,test
C000592,test
C000403,test
C000111,test
C000140,test
C000721,test
C000115,test
C000903,test
C000087,test
C000350,test
C000174,test
C000589,test
C000591,test
C000258,test
C000582,test
C000771,test
C000208,test
C000078,test
C000259,test
C000815,test
C000776,test
C000260,test
C000204,test
C000068,test
C000176,test
C000453,test
C000845,test
C000524,test
C000819,test
C000599,test
C000015,test
C000413,test
C000613,test
C000364,test
C000506,test
C000728,test
C000997,test
C000035,test
C000043,test
C000860,test
C000218,test
C000481,test
C000808,test
C000270,test
C000182,test
C000307,test
C000811,test
C000522,test
C000287,test
C000892,test
C000544,test
C000822,test
C000831,test
C000765,test
C000217,test
C000844,test
C000030,test
C000388,test
C000515,test
C000917,test
C000767,test
C000248,test
C000737,test
C000600,test
C000609,test
C000488,test
C000602,test
C000288,test
C000762,test
C000186,test
C000884,test
C000114,test
C000905,test
C000763,test
C000065,test
C000957,test
C000335,test
C000900,test
C000780,test
C000402,test
C000684,test
C000882,test
C000358,test
